Title,Author,URL,Snippet
"Prince Harry Was Hacked by UK Tabloid Newspapers, Judge Says",Bloomberg,https://www.msn.com/en-us/news/world/prince-harry-was-hacked-by-uk-tabloid-newspapers-judge-says/ar-AA1lxRLp,"(Bloomberg) -- Prince Harry was awarded £140,600 ($179,720) in a phone hacking lawsuit against newspaper group MGN Ltd., marking a victory for the royal who has consistently refused to settle long"
Federal appeals court hears Mark Meadows' call to move his Georgia case, UPI News,https://www.msn.com/en-us/news/crime/federal-appeals-court-hears-mark-meadows-call-to-move-his-georgia-case/ar-AA1lyOYa,"Dec. 15 (UPI) -- Former Trump Chief of Staff Mark Meadows is in the 11th Circuit Court of Appeals Friday to try to move his Georgia election racketeering case to the federal courts. ""This is not a"
Top U.S. official says Gaza war could last for months,The Washington Post,https://www.msn.com/en-us/news/world/top-us-official-says-gaza-war-could-last-for-months/ar-AA1lyTyl,"   White House national security adviser Jake Sullivan affirmed the United States’ continued support for Israel in its war against Hamas on Friday, playing down differences over the way the war is"
"US Senate to vote on Ukraine funding, border security next week",Reuters,https://www.msn.com/en-us/news/politics/us-senate-to-vote-on-ukraine-funding-border-security-next-week/ar-AA1lw0TB,By Makini Brice and Ted HessonWASHINGTON (Reuters) -The U.S. Senate will vote on military aid for Ukraine and Israel next week as negotiations continue over changes to U.S. border security policy
"Like long Covid, the flu can also lead to long-lasting symptoms, study finds",NBC News,https://www.msn.com/en-us/health/other/like-long-covid-the-flu-can-also-lead-to-long-lasting-symptoms-study-finds/ar-AA1lwng7,Evidence continues to mount that Covid isn’t the only viral illness that can lead to persistent and sometimes debilitating symptoms. Research published Thursday in The Lancet Infectious Diseases
Biden backs ethanol industry on low-emission aviation fuel tax credits,Reuters,https://www.msn.com/en-us/news/politics/biden-backs-ethanol-industry-on-low-emission-aviation-fuel-tax-credits/ar-AA1lysIN,By Stephanie Kelly and Leah Douglas(Reuters) -The Biden administration said on Friday it will recognize a methodology favored by the ethanol industry in guidance to companies looking to claim tax
Jury in Rudy Giuliani defamation trial urged to send message: ‘Don’t do it’,The Guardian,https://www.msn.com/en-us/news/politics/jury-in-rudy-giuliani-defamation-trial-urged-to-send-message-don-t-do-it/ar-AA1luS2r," A Washington DC jury should “send a message” to other powerful people by issuing substantial damages against Rudy Giuliani for spreading lies about two Georgia election workers, a lawyer for the"
Costco sold more than $100 million in gold bars last quarter,CNBC,https://www.msn.com/en-us/money/companies/costco-sold-more-than-100-million-in-gold-bars-last-quarter/ar-AA1lyM71, Costco CFO Richard Galanti said Costco sold more than $100 million in gold bars during its most recent quarter. The 1-ounce bars typically sellout within a few hours after they are loaded to
Fed Official Says Central Bank Isn’t ‘Really Talking About Rate Cuts’,The Wall Street Journal,https://www.msn.com/en-us/money/markets/fed-official-says-central-bank-isn-t-really-talking-about-rate-cuts/ar-AA1lyK1M,"A senior Federal Reserve official said Friday that central-bank policy makers weren’t actively debating when to cut interest rates, an apparent effort to recast comments Chair Jerome Powell made two"
515 injured in a Beijing rail collision as heavy snow hits the Chinese capital,The Associated Press,https://www.msn.com/en-us/news/world/515-injured-in-a-beijing-rail-collision-as-heavy-snow-hits-the-chinese-capital/ar-AA1lxdQM,"BEIJING (AP) — Two subway trains collided in heavy snow in Beijing, sending 515 people to the hospital, including 102 with broken bones, authorities said Friday.The accident occurred Thursday evening"
Tesla’s Autopilot System Sparked Lawsuits Before the Recall,The Wall Street Journal,https://www.msn.com/en-us/money/companies/tesla-s-engineers-are-less-boastful-about-autopilot-than-elon-musk/ar-AA1lxNuX,"The Autopilot system that prompted Tesla’s recall of two million vehicles this week has been the subject of a series of lawsuits claiming the company promised more than it delivered, and in some"
Michigan court rejects challenge to Trump appearing on GOP primary ballot,ABC News,https://www.msn.com/en-us/news/politics/michigan-court-rejects-challenge-to-trump-appearing-on-gop-primary-ballot/ar-AA1lwgAO,  Michigan's Court of Appeals ruled on Thursday that former President Donald Trump could remain on the state's 2024 GOP primary ballot and wouldn't be disqualified from running in the state under
